&1&2&3&5&6&10&11&12&13
0&11/06/18 00:00:48&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1&11/06/18 00:00:48&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3170&11/06/18 11:22:48&	SMTP-IN	0380B68C54D34AFC9CB9545C7E81BA90.MAI	864	&177.8.169.156&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3171&11/06/18 11:22:48&	SMTP-IN	0380B68C54D34AFC9CB9545C7E81BA90.MAI	864	&177.8.169.156&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3172&11/06/18 11:22:48&	SMTP-IN	0380B68C54D34AFC9CB9545C7E81BA90.MAI	864	&177.8.169.156&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dbadmin	
3173&11/06/18 11:22:48&	SMTP-IN	0380B68C54D34AFC9CB9545C7E81BA90.MAI	864	&177.8.169.156&AUTH&ZGJhZG1pbg==&535 Invalid Username or Password	&34&14&dbadmin	
3174&11/06/18 11:22:49&	SMTP-IN	0380B68C54D34AFC9CB9545C7E81BA90.MAI	864	&177.8.169.156&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbadmin	
3175&11/06/18 11:24:35&	SMTP-IN	B3A974CEFBA1463F8694DCECF1F962DE.MAI	744	&190.109.222.50&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:24:35	&0&0&	
3176&11/06/18 11:24:35&	SMTP-IN	B3A974CEFBA1463F8694DCECF1F962DE.MAI	744	&190.109.222.50&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3177&11/06/18 11:24:35&	SMTP-IN	B3A974CEFBA1463F8694DCECF1F962DE.MAI	744	&190.109.222.50&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3178&11/06/18 11:24:36&	SMTP-IN	B3A974CEFBA1463F8694DCECF1F962DE.MAI	744	&190.109.222.50&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dbailey	
3179&11/06/18 11:24:36&	SMTP-IN	B3A974CEFBA1463F8694DCECF1F962DE.MAI	744	&190.109.222.50&AUTH&ZGJhaWxleQ==&535 Invalid Username or Password	&34&14&dbailey	
3180&11/06/18 11:24:36&	SMTP-IN	B3A974CEFBA1463F8694DCECF1F962DE.MAI	744	&190.109.222.50&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbailey	
3181&11/06/18 11:24:36&	SMTP-IN	80800E911AD54085B2C8CECDAAA1D0B5.MAI	788	&193.169.252.163&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:24:36	&0&0&	
3182&11/06/18 11:24:36&	SMTP-IN	80800E911AD54085B2C8CECDAAA1D0B5.MAI	788	&193.169.252.163&EHLO&EHLO&178.72.90.213	250-cirkul-m.ru [193.169.252.163], this server offers 4 extensions	&130&20&	
3183&11/06/18 11:24:37&	SMTP-IN	80800E911AD54085B2C8CECDAAA1D0B5.MAI	788	&193.169.252.163&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3184&11/06/18 11:24:37&	SMTP-IN	80800E911AD54085B2C8CECDAAA1D0B5.MAI	788	&193.169.252.163&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&takeuchi	
3185&11/06/18 11:24:37&	SMTP-IN	80800E911AD54085B2C8CECDAAA1D0B5.MAI	788	&193.169.252.163&AUTH&cXdlcnR5&535 Invalid Username or Password	&34&10&takeuchi	
3186&11/06/18 11:26:23&	SMTP-IN	331008B8AB514184AB3147C22B42F079.MAI	872	&200.29.108.214&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:26:23	&0&0&	
3187&11/06/18 11:26:24&	SMTP-IN	331008B8AB514184AB3147C22B42F079.MAI	872	&200.29.108.214&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3188&11/06/18 11:26:24&	SMTP-IN	331008B8AB514184AB3147C22B42F079.MAI	872	&200.29.108.214&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3189&11/06/18 11:26:24&	SMTP-IN	331008B8AB514184AB3147C22B42F079.MAI	872	&200.29.108.214&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&dbaker	
3190&11/06/18 11:26:25&	SMTP-IN	331008B8AB514184AB3147C22B42F079.MAI	872	&200.29.108.214&AUTH&ZGJha2Vy&535 Invalid Username or Password	&34&10&dbaker	
3191&11/06/18 11:26:25&	SMTP-IN	331008B8AB514184AB3147C22B42F079.MAI	872	&200.29.108.214&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbaker	
3192&11/06/18 11:28:15&	SMTP-IN	5B884D82F5144C43A84296F492103AA7.MAI	636	&154.73.182.24&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:28:15	&0&0&	
3193&11/06/18 11:28:16&	SMTP-IN	5B884D82F5144C43A84296F492103AA7.MAI	636	&154.73.182.24&HELO&HELO&*.*	250 Requested mail action okay, completed	&43&10&	
3194&11/06/18 11:28:16&	SMTP-IN	5B884D82F5144C43A84296F492103AA7.MAI	636	&154.73.182.24&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3195&11/06/18 11:28:16&	SMTP-IN	5B884D82F5144C43A84296F492103AA7.MAI	636	&154.73.182.24&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dbarnes	
3196&11/06/18 11:28:17&	SMTP-IN	5B884D82F5144C43A84296F492103AA7.MAI	636	&154.73.182.24&AUTH&ZGJhcm5lcw==&535 Invalid Username or Password	&34&14&dbarnes	
3197&11/06/18 11:28:17&	SMTP-IN	5B884D82F5144C43A84296F492103AA7.MAI	636	&154.73.182.24&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbarnes	
3198&11/06/18 11:30:08&	SMTP-IN	4961C8266ABE423792508A9810B290EF.MAI	936	&133.208.151.107&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:30:08	&0&0&	
3199&11/06/18 11:30:08&	SMTP-IN	4961C8266ABE423792508A9810B290EF.MAI	936	&133.208.151.107&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3200&11/06/18 11:30:09&	SMTP-IN	4961C8266ABE423792508A9810B290EF.MAI	936	&133.208.151.107&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3201&11/06/18 11:30:09&	SMTP-IN	4961C8266ABE423792508A9810B290EF.MAI	936	&133.208.151.107&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&dbell	
3202&11/06/18 11:30:09&	SMTP-IN	4961C8266ABE423792508A9810B290EF.MAI	936	&133.208.151.107&AUTH&ZGJlbGw=&535 Invalid Username or Password	&34&10&dbell	
3203&11/06/18 11:30:10&	SMTP-IN	4961C8266ABE423792508A9810B290EF.MAI	936	&133.208.151.107&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbell	
3204&11/06/18 11:31:12&	SMTP-IN	E698CFDF2104471DAD5843D289E118D7.MAI	788	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:31:12	&0&0&	
3205&11/06/18 11:31:12&	SMTP-IN	E698CFDF2104471DAD5843D289E118D7.MAI	788	&185.234.219.30&EHLO&EHLO&User	250-cirkul-m.ru [185.234.219.30], this server offers 4 extensions	&129&11&	
3206&11/06/18 11:31:12&	SMTP-IN	E698CFDF2104471DAD5843D289E118D7.MAI	788	&185.234.219.30&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3207&11/06/18 11:31:12&	SMTP-IN	E698CFDF2104471DAD5843D289E118D7.MAI	788	&185.234.219.30&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&18&consultant	
3208&11/06/18 11:31:12&	SMTP-IN	E698CFDF2104471DAD5843D289E118D7.MAI	788	&185.234.219.30&AUTH&d2VsY29tZQ==&535 Invalid Username or Password	&34&14&consultant	
3209&11/06/18 11:32:18&	SMTP-IN	77AAB8168FED4DD2A2037A63F0A52322.MAI	872	&196.43.234.193&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:32:18	&0&0&	
3210&11/06/18 11:32:18&	SMTP-IN	77AAB8168FED4DD2A2037A63F0A52322.MAI	872	&196.43.234.193&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3211&11/06/18 11:32:19&	SMTP-IN	77AAB8168FED4DD2A2037A63F0A52322.MAI	872	&196.43.234.193&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3212&11/06/18 11:32:19&	SMTP-IN	77AAB8168FED4DD2A2037A63F0A52322.MAI	872	&196.43.234.193&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dbennett	
3213&11/06/18 11:32:19&	SMTP-IN	77AAB8168FED4DD2A2037A63F0A52322.MAI	872	&196.43.234.193&AUTH&ZGJlbm5ldHQ=&535 Invalid Username or Password	&34&14&dbennett	
3214&11/06/18 11:32:20&	SMTP-IN	77AAB8168FED4DD2A2037A63F0A52322.MAI	872	&196.43.234.193&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbennett	
3215&11/06/18 11:33:51&	SMTP-IN	432D086CC0564BDBB3D3D8400F669247.MAI	636	&191.255.248.223&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:33:51	&0&0&	
3216&11/06/18 11:33:51&	SMTP-IN	432D086CC0564BDBB3D3D8400F669247.MAI	636	&191.255.248.223&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3217&11/06/18 11:33:52&	SMTP-IN	432D086CC0564BDBB3D3D8400F669247.MAI	636	&191.255.248.223&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3218&11/06/18 11:33:52&	SMTP-IN	432D086CC0564BDBB3D3D8400F669247.MAI	636	&191.255.248.223&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dbrooks	
3219&11/06/18 11:33:52&	SMTP-IN	432D086CC0564BDBB3D3D8400F669247.MAI	636	&191.255.248.223&AUTH&ZGJyb29rcw==&535 Invalid Username or Password	&34&14&dbrooks	
3220&11/06/18 11:33:53&	SMTP-IN	432D086CC0564BDBB3D3D8400F669247.MAI	636	&191.255.248.223&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbrooks	
3221&11/06/18 11:35:42&	SMTP-IN	4B4F99966AAC45C29950C597A05F0FE6.MAI	936	&180.150.253.38&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:35:42	&0&0&	
3222&11/06/18 11:35:42&	SMTP-IN	4B4F99966AAC45C29950C597A05F0FE6.MAI	936	&180.150.253.38&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3223&11/06/18 11:35:43&	SMTP-IN	4B4F99966AAC45C29950C597A05F0FE6.MAI	936	&180.150.253.38&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3224&11/06/18 11:35:43&	SMTP-IN	4B4F99966AAC45C29950C597A05F0FE6.MAI	936	&180.150.253.38&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&dbrown	
3225&11/06/18 11:35:44&	SMTP-IN	4B4F99966AAC45C29950C597A05F0FE6.MAI	936	&180.150.253.38&AUTH&ZGJyb3du&535 Invalid Username or Password	&34&10&dbrown	
3226&11/06/18 11:35:44&	SMTP-IN	4B4F99966AAC45C29950C597A05F0FE6.MAI	936	&180.150.253.38&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbrown	
3227&11/06/18 11:37:27&	SMTP-IN	1DECBC29D34542E2B55FA5C8D071B84E.MAI	788	&177.8.169.156&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:37:27	&0&0&	
3228&11/06/18 11:37:28&	SMTP-IN	1DECBC29D34542E2B55FA5C8D071B84E.MAI	788	&177.8.169.156&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3229&11/06/18 11:37:28&	SMTP-IN	1DECBC29D34542E2B55FA5C8D071B84E.MAI	788	&177.8.169.156&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3230&11/06/18 11:37:28&	SMTP-IN	1DECBC29D34542E2B55FA5C8D071B84E.MAI	788	&177.8.169.156&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dbryant	
3231&11/06/18 11:37:29&	SMTP-IN	1DECBC29D34542E2B55FA5C8D071B84E.MAI	788	&177.8.169.156&AUTH&ZGJyeWFudA==&535 Invalid Username or Password	&34&14&dbryant	
3232&11/06/18 11:37:29&	SMTP-IN	1DECBC29D34542E2B55FA5C8D071B84E.MAI	788	&177.8.169.156&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbryant	
3233&11/06/18 11:38:53&	SMTP-IN	C49C1E89BD8F4F4B980320980B7A5F2B.MAI	872	&193.169.252.54&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:38:53	&0&0&	
3234&11/06/18 11:38:53&	SMTP-IN	C49C1E89BD8F4F4B980320980B7A5F2B.MAI	872	&193.169.252.54&EHLO&EHLO&User	250-cirkul-m.ru [193.169.252.54], this server offers 4 extensions	&129&11&	
3235&11/06/18 11:38:54&	SMTP-IN	C49C1E89BD8F4F4B980320980B7A5F2B.MAI	872	&193.169.252.54&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3236&11/06/18 11:38:54&	SMTP-IN	C49C1E89BD8F4F4B980320980B7A5F2B.MAI	872	&193.169.252.54&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&test	
3237&11/06/18 11:38:54&	SMTP-IN	C49C1E89BD8F4F4B980320980B7A5F2B.MAI	872	&193.169.252.54&AUTH&V2VsY29tZTE=&535 Invalid Username or Password	&34&14&test	
3238&11/06/18 11:39:24&	SMTP-IN	BF2E81B186544C718F01D77841811220.MAI	636	&189.50.15.58&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:39:24	&0&0&	
3239&11/06/18 11:39:24&	SMTP-IN	BF2E81B186544C718F01D77841811220.MAI	636	&189.50.15.58&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3240&11/06/18 11:39:24&	SMTP-IN	BF2E81B186544C718F01D77841811220.MAI	636	&189.50.15.58&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3241&11/06/18 11:39:25&	SMTP-IN	BF2E81B186544C718F01D77841811220.MAI	636	&189.50.15.58&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dbutler	
3242&11/06/18 11:39:25&	SMTP-IN	BF2E81B186544C718F01D77841811220.MAI	636	&189.50.15.58&AUTH&ZGJ1dGxlcg==&535 Invalid Username or Password	&34&14&dbutler	
3243&11/06/18 11:39:25&	SMTP-IN	BF2E81B186544C718F01D77841811220.MAI	636	&189.50.15.58&QUIT&QUIT&221 Service closing transmission channel	&42&6&dbutler	
3244&11/06/18 11:39:49&	SMTP-IN	684817D4C3734A92877D55E7AAAEBF95.MAI	936	&80.82.70.189&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:39:49	&0&0&	
3245&11/06/18 11:39:49&	SMTP-IN	684817D4C3734A92877D55E7AAAEBF95.MAI	936	&80.82.70.189&EHLO&EHLO&User	250-cirkul-m.ru [80.82.70.189], this server offers 4 extensions	&127&11&	
3246&11/06/18 11:39:49&	SMTP-IN	684817D4C3734A92877D55E7AAAEBF95.MAI	936	&80.82.70.189&RSET&RSET&250 Requested mail action okay, completed	&43&6&	
3247&11/06/18 11:39:49&	SMTP-IN	684817D4C3734A92877D55E7AAAEBF95.MAI	936	&80.82.70.189&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3248&11/06/18 11:39:49&	SMTP-IN	684817D4C3734A92877D55E7AAAEBF95.MAI	936	&80.82.70.189&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&30&cassandra@cirkul-m.ru	
3249&11/06/18 11:39:49&	SMTP-IN	684817D4C3734A92877D55E7AAAEBF95.MAI	936	&80.82.70.189&AUTH&Y2Fzc2FuZHJhMTIz&535 Invalid Username or Password	&34&18&cassandra@cirkul-m.ru	
3250&11/06/18 11:39:49&	SMTP-IN	684817D4C3734A92877D55E7AAAEBF95.MAI	936	&80.82.70.189&QUIT&QUIT&221 Service closing transmission channel	&42&6&cassandra@cirkul-m.ru	
3251&11/06/18 11:41:00&	SMTP-IN	1EB4C8E5A0CA4C8C9D1BA5648E73D9AF.MAI	788	&81.30.158.170&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:41:00	&0&0&	
3252&11/06/18 11:41:00&	SMTP-IN	1EB4C8E5A0CA4C8C9D1BA5648E73D9AF.MAI	788	&81.30.158.170&EHLO&EHLO&mail.dilfinarym.eu	250-cirkul-m.ru [81.30.158.170], this server offers 4 extensions	&128&25&	
3253&11/06/18 11:41:00&	SMTP-IN	1EB4C8E5A0CA4C8C9D1BA5648E73D9AF.MAI	788	&81.30.158.170&MAIL&MAIL&FROM:<errecqf@dilfinarym.eu>	250 Requested mail action okay, completed	&43&35&	
3254&11/06/18 11:41:00&	SMTP-IN	1EB4C8E5A0CA4C8C9D1BA5648E73D9AF.MAI	788	&81.30.158.170&RCPT&RCPT&TO:<info@cirkul-m.ru>	250 Requested mail action okay, completed	&43&28&	
3255&11/06/18 11:41:01&	SMTP-IN	1EB4C8E5A0CA4C8C9D1BA5648E73D9AF.MAI	788	&81.30.158.170&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>	&46&6&	
3256&11/06/18 11:41:01&	SMTP-IN	EBF8667B908540F6982E80058051FAA0.MAI	788	&81.30.158.170&QUIT&QUIT&221 Service closing transmission channel	&42&6&	
3257&11/06/18 11:41:11&	SMTP-IN	74C70337CAA84D48A5203C2896D65D04.MAI	792	&189.112.185.186&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:41:11	&0&0&	
3258&11/06/18 11:41:12&	SMTP-IN	74C70337CAA84D48A5203C2896D65D04.MAI	792	&189.112.185.186&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3259&11/06/18 11:41:12&	SMTP-IN	74C70337CAA84D48A5203C2896D65D04.MAI	792	&189.112.185.186&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3260&11/06/18 11:41:12&	SMTP-IN	74C70337CAA84D48A5203C2896D65D04.MAI	792	&189.112.185.186&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dcampbell	
3261&11/06/18 11:41:13&	SMTP-IN	74C70337CAA84D48A5203C2896D65D04.MAI	792	&189.112.185.186&AUTH&ZGNhbXBiZWxs&535 Invalid Username or Password	&34&14&dcampbell	
3262&11/06/18 11:41:13&	SMTP-IN	74C70337CAA84D48A5203C2896D65D04.MAI	792	&189.112.185.186&QUIT&QUIT&221 Service closing transmission channel	&42&6&dcampbell	
3263&11/06/18 11:41:19&	SMTP-IN	750712F90A024256AE844E9CAAB39711.MAI	1008	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:41:19	&0&0&	
3264&11/06/18 11:41:19&	SMTP-IN	750712F90A024256AE844E9CAAB39711.MAI	1008	&185.234.219.30&EHLO&EHLO&User	250-cirkul-m.ru [185.234.219.30], this server offers 4 extensions	&129&11&	
3265&11/06/18 11:41:19&	SMTP-IN	750712F90A024256AE844E9CAAB39711.MAI	1008	&185.234.219.30&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3266&11/06/18 11:41:19&	SMTP-IN	750712F90A024256AE844E9CAAB39711.MAI	1008	&185.234.219.30&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&karin	
3267&11/06/18 11:41:19&	SMTP-IN	750712F90A024256AE844E9CAAB39711.MAI	1008	&185.234.219.30&AUTH&d2VsY29tZQ==&535 Invalid Username or Password	&34&14&karin	
3268&11/06/18 11:41:39&	SMTP-IN	02B79A261EE6490B81251F5FD76A4532.MAI	884	&193.169.252.163&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:41:39	&0&0&	
3269&11/06/18 11:41:39&	SMTP-IN	02B79A261EE6490B81251F5FD76A4532.MAI	884	&193.169.252.163&EHLO&EHLO&178.72.90.213	250-cirkul-m.ru [193.169.252.163], this server offers 4 extensions	&130&20&	
3270&11/06/18 11:41:39&	SMTP-IN	02B79A261EE6490B81251F5FD76A4532.MAI	884	&193.169.252.163&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3271&11/06/18 11:41:39&	SMTP-IN	02B79A261EE6490B81251F5FD76A4532.MAI	884	&193.169.252.163&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&trainer	
3272&11/06/18 11:41:40&	SMTP-IN	02B79A261EE6490B81251F5FD76A4532.MAI	884	&193.169.252.163&AUTH&cXdlcnR5&535 Invalid Username or Password	&34&10&trainer	
3273&11/06/18 11:42:48&	SMTP-IN	BD798BEB0FB847E89BC475D48532239C.MAI	908	&62.141.39.241&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:42:48	&0&0&	
3274&11/06/18 11:42:48&	SMTP-IN	BD798BEB0FB847E89BC475D48532239C.MAI	908	&62.141.39.241&EHLO&EHLO&mail.moolinger.eu	250-cirkul-m.ru [62.141.39.241], this server offers 4 extensions	&128&24&	
3275&11/06/18 11:42:48&	SMTP-IN	BD798BEB0FB847E89BC475D48532239C.MAI	908	&62.141.39.241&MAIL&MAIL&FROM:<eqtuztf@moolinger.eu>	250 Requested mail action okay, completed	&43&34&	
3276&11/06/18 11:42:49&	SMTP-IN	BD798BEB0FB847E89BC475D48532239C.MAI	908	&62.141.39.241&RCPT&RCPT&TO:<info@cirkul-m.ru>	250 Requested mail action okay, completed	&43&28&	
3277&11/06/18 11:42:49&	SMTP-IN	BD798BEB0FB847E89BC475D48532239C.MAI	908	&62.141.39.241&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>	&46&6&	
3278&11/06/18 11:42:49&	SMTP-IN	13D25D7540344CC19BE47093D949E3D8.MAI	908	&62.141.39.241&QUIT&QUIT&221 Service closing transmission channel	&42&6&	
3279&11/06/18 11:43:05&	SMTP-IN	86246B61A5384F99AC6E203E10BAB955.MAI	936	&201.182.173.26&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:43:05	&0&0&	
3280&11/06/18 11:43:05&	SMTP-IN	86246B61A5384F99AC6E203E10BAB955.MAI	936	&201.182.173.26&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3281&11/06/18 11:43:06&	SMTP-IN	86246B61A5384F99AC6E203E10BAB955.MAI	936	&201.182.173.26&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3282&11/06/18 11:43:06&	SMTP-IN	86246B61A5384F99AC6E203E10BAB955.MAI	936	&201.182.173.26&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dcarter	
3283&11/06/18 11:43:06&	SMTP-IN	86246B61A5384F99AC6E203E10BAB955.MAI	936	&201.182.173.26&AUTH&ZGNhcnRlcg==&535 Invalid Username or Password	&34&14&dcarter	
3284&11/06/18 11:43:07&	SMTP-IN	86246B61A5384F99AC6E203E10BAB955.MAI	936	&201.182.173.26&QUIT&QUIT&221 Service closing transmission channel	&42&6&dcarter	
3285&11/06/18 11:45:11&	SMTP-IN	2305D5CD69D54AB9A56EFCCC98F31075.MAI	864	&125.227.224.224&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:45:11	&0&0&	
3286&11/06/18 11:46:45&	SMTP-IN	68D5A51CEABB4C87894C8536AE8BF89F.MAI	896	&200.30.83.105&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:46:45	&0&0&	
3287&11/06/18 11:46:46&	SMTP-IN	68D5A51CEABB4C87894C8536AE8BF89F.MAI	896	&200.30.83.105&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3288&11/06/18 11:46:46&	SMTP-IN	68D5A51CEABB4C87894C8536AE8BF89F.MAI	896	&200.30.83.105&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3289&11/06/18 11:46:46&	SMTP-IN	68D5A51CEABB4C87894C8536AE8BF89F.MAI	896	&200.30.83.105&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&dcoleman	
3290&11/06/18 11:46:47&	SMTP-IN	68D5A51CEABB4C87894C8536AE8BF89F.MAI	896	&200.30.83.105&AUTH&ZGNvbGVtYW4=&535 Invalid Username or Password	&34&14&dcoleman	
3291&11/06/18 11:46:47&	SMTP-IN	68D5A51CEABB4C87894C8536AE8BF89F.MAI	896	&200.30.83.105&QUIT&QUIT&221 Service closing transmission channel	&42&6&dcoleman	
3292&11/06/18 11:50:34&	SMTP-IN	17988465991D4CC3A7886FBDF7BA8B27.MAI	788	&200.196.251.102&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:50:34	&0&0&	
3293&11/06/18 11:50:35&	SMTP-IN	17988465991D4CC3A7886FBDF7BA8B27.MAI	788	&200.196.251.102&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
3294&11/06/18 11:50:35&	SMTP-IN	17988465991D4CC3A7886FBDF7BA8B27.MAI	788	&200.196.251.102&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
3295&11/06/18 11:50:35&	SMTP-IN	17988465991D4CC3A7886FBDF7BA8B27.MAI	788	&200.196.251.102&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&dcook	
3296&11/06/18 11:50:36&	SMTP-IN	17988465991D4CC3A7886FBDF7BA8B27.MAI	788	&200.196.251.102&AUTH&ZGNvb2s=&535 Invalid Username or Password	&34&10&dcook	
3297&11/06/18 11:50:36&	SMTP-IN	17988465991D4CC3A7886FBDF7BA8B27.MAI	788	&200.196.251.102&QUIT&QUIT&221 Service closing transmission channel	&42&6&dcook	
3298&11/06/18 11:51:29&	SMTP-IN	58E719BB8C544E3BAACEE53042685C6A.MAI	872	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 11:51:29	&0&0&	
3299&11/06/18 11:51:29&	SMTP-IN	58E719BB8C544E3BAACEE53042685C6A.MAI	872	&185.234.219.30&EHLO&EHLO&User	250-cirkul-m.ru [185.234.219.30], this server offers 4 extensions	&129&11&	
3300&11/06/18 11:51:29&	SMTP-IN	58E719BB8C544E3BAACEE53042685C6A.MAI	872	&185.234.219.30&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
